time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-06-01 00:00:00,-8.9,0.0,0.0,3.8,287,97,0.0,76
2014-06-01 01:00:00,-9.3,0.0,0.0,3.9,292,97,0.0,100
2014-06-01 02:00:00,-9.5,0.0,0.0,4.2,301,97,0.0,100
2014-06-01 03:00:00,-9.8,0.0,0.0,4.2,301,97,0.0,99
2014-06-01 04:00:00,-9.7,0.0,0.0,4.2,301,96,0.0,100
2014-06-01 05:00:00,-9.9,0.0,0.0,4.2,301,97,0.0,80
2014-06-01 06:00:00,-10.1,0.0,0.0,4.0,297,96,0.0,69
2014-06-01 07:00:00,-9.3,0.0,0.0,3.9,292,91,0.0,49
2014-06-01 08:00:00,-9.1,0.0,0.0,3.5,294,88,0.0,49
2014-06-01 09:00:00,-9.1,0.0,0.0,3.5,294,85,25.0,53
2014-06-01 10:00:00,-8.5,0.0,0.0,3.4,288,81,131.0,55
2014-06-01 11:00:00,-7.8,0.0,0.0,3.7,299,78,256.0,52
2014-06-01 12:00:00,-7.9,0.0,0.0,2.6,304,86,329.0,39
2014-06-01 13:00:00,-6.5,0.0,0.0,2.9,300,81,369.0,31
2014-06-01 14:00:00,-5.9,0.0,0.0,2.4,297,81,347.0,18
2014-06-01 15:00:00,-5.4,0.0,0.0,3.0,284,73,281.0,26
2014-06-01 16:00:00,-5.4,0.0,0.0,3.0,284,78,181.0,32
2014-06-01 17:00:00,-5.5,0.0,0.0,3.1,291,66,61.0,34
2014-06-01 18:00:00,-5.7,0.0,0.0,3.1,291,65,0.0,26
2014-06-01 19:00:00,-5.9,0.0,0.0,3.0,284,58,0.0,38
2014-06-01 20:00:00,-6.3,0.0,0.0,3.3,283,57,0.0,32
2014-06-01 21:00:00,-6.6,0.0,0.0,3.1,291,57,0.0,34
2014-06-01 22:00:00,-6.7,0.0,0.0,3.7,281,56,0.0,28
2014-06-01 23:00:00,-7.0,0.0,0.0,3.6,276,56,0.0,27
2014-06-02 00:00:00,-7.2,0.0,0.0,3.6,276,56,0.0,28
2014-06-02 01:00:00,-7.5,0.0,0.0,3.3,283,56,0.0,28
2014-06-02 02:00:00,-7.4,0.0,0.0,3.0,284,57,0.0,29
2014-06-02 03:00:00,-7.2,0.0,0.0,2.9,277,58,0.0,29
2014-06-02 04:00:00,-7.2,0.0,0.0,2.9,270,59,0.0,36
2014-06-02 05:00:00,-7.1,0.0,0.0,2.9,270,59,0.0,38
2014-06-02 06:00:00,-7.2,0.0,0.0,2.9,270,61,0.0,40
2014-06-02 07:00:00,-6.7,0.0,0.0,2.9,270,59,0.0,41
2014-06-02 08:00:00,-6.8,0.0,0.0,2.9,277,62,0.0,44
2014-06-02 09:00:00,-6.8,0.0,0.0,2.9,277,64,22.0,42
2014-06-02 10:00:00,-6.4,0.0,0.0,3.0,284,64,117.0,38
2014-06-02 11:00:00,-5.9,0.0,0.0,2.9,277,65,234.0,38
2014-06-02 12:00:00,-5.4,0.0,0.0,2.9,270,72,307.0,20
2014-06-02 13:00:00,-4.6,0.0,0.0,2.5,278,72,349.0,23
2014-06-02 14:00:00,-4.4,0.0,0.0,2.6,286,75,335.0,21
2014-06-02 15:00:00,-4.2,0.0,0.0,2.5,278,75,273.0,25
2014-06-02 16:00:00,-4.4,0.0,0.0,2.9,277,84,177.0,19
2014-06-02 17:00:00,-4.6,0.0,0.0,2.9,270,77,61.0,15
2014-06-02 18:00:00,-4.9,0.0,0.0,2.9,270,76,0.0,9
2014-06-02 19:00:00,-5.3,0.0,0.0,2.9,270,76,0.0,15
2014-06-02 20:00:00,-5.8,0.0,0.0,2.9,277,78,0.0,33
2014-06-02 21:00:00,-6.2,0.0,0.0,2.6,286,79,0.0,30
2014-06-02 22:00:00,-6.3,0.0,0.0,3.3,283,78,0.0,32
2014-06-02 23:00:00,-6.5,0.0,0.0,3.0,284,79,0.0,30
2014-06-03 00:00:00,-6.8,0.0,0.0,3.3,276,79,0.0,30
2014-06-03 01:00:00,-7.0,0.0,0.0,2.9,277,79,0.0,31
2014-06-03 02:00:00,-7.1,0.0,0.0,2.9,277,79,0.0,30
