time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-06-01 00:00:00,6.5,0.0,0.0,13.0,309,92,0.0,96
2014-06-01 01:00:00,6.7,0.0,0.1,14.7,306,92,0.0,93
2014-06-01 02:00:00,6.9,0.0,0.1,15.6,308,90,0.0,100
2014-06-01 03:00:00,7.0,0.0,0.1,15.9,308,90,0.0,100
2014-06-01 04:00:00,6.9,0.0,0.2,16.4,310,88,0.0,100
2014-06-01 05:00:00,7.0,0.0,0.3,16.3,311,88,0.0,100
2014-06-01 06:00:00,6.9,0.0,0.4,15.8,315,89,0.0,100
2014-06-01 07:00:00,6.5,0.0,0.9,14.0,312,94,0.0,98
2014-06-01 08:00:00,6.4,0.0,1.4,13.5,314,95,0.0,100
2014-06-01 09:00:00,6.4,0.07,1.8,12.7,317,97,0.0,100
2014-06-01 10:00:00,6.8,0.0,2.0,12.6,323,96,22.0,100
2014-06-01 11:00:00,7.5,0.0,2.1,11.4,325,95,87.0,100
2014-06-01 12:00:00,7.9,0.0,2.7,9.9,327,94,146.0,100
2014-06-01 13:00:00,8.2,0.0,1.9,10.0,319,96,210.0,100
2014-06-01 14:00:00,8.3,0.0,1.7,7.9,309,99,223.0,100
2014-06-01 15:00:00,8.3,0.0,1.9,6.9,298,99,196.0,100
2014-06-01 16:00:00,7.3,0.49,2.9,6.0,295,100,137.0,100
2014-06-01 17:00:00,6.5,0.42,2.8,5.3,298,99,99.0,100
2014-06-01 18:00:00,6.3,0.21,2.5,4.7,302,100,37.0,100
2014-06-01 19:00:00,6.4,0.07,2.5,5.6,310,99,2.0,100
2014-06-01 20:00:00,6.6,0.0,2.2,6.4,322,99,0.0,100
2014-06-01 21:00:00,6.9,0.0,2.1,6.6,315,99,0.0,100
2014-06-01 22:00:00,7.2,0.0,1.9,7.7,319,98,0.0,100
2014-06-01 23:00:00,7.6,0.0,1.4,8.9,317,97,0.0,100
2014-06-02 00:00:00,7.6,0.0,0.6,14.3,315,99,0.0,100
2014-06-02 01:00:00,8.0,0.0,0.3,14.3,313,99,0.0,100
2014-06-02 02:00:00,8.2,0.0,0.2,14.8,313,97,0.0,98
2014-06-02 03:00:00,8.0,0.0,0.3,13.8,317,99,0.0,100
2014-06-02 04:00:00,8.1,0.0,0.4,12.1,323,99,0.0,100
2014-06-02 05:00:00,8.0,0.0,0.4,13.2,325,99,0.0,96
2014-06-02 06:00:00,7.8,0.0,0.3,14.8,326,99,0.0,97
2014-06-02 07:00:00,7.4,0.0,0.3,14.5,325,99,0.0,99
2014-06-02 08:00:00,7.0,0.0,0.4,14.3,332,99,0.0,97
2014-06-02 09:00:00,6.7,0.0,0.5,12.6,333,99,0.0,100
2014-06-02 10:00:00,6.7,0.0,0.4,11.6,338,99,17.0,99
2014-06-02 11:00:00,7.0,0.0,0.5,12.6,336,99,56.0,98
2014-06-02 12:00:00,7.4,0.0,0.6,12.8,344,98,112.0,100
2014-06-02 13:00:00,7.6,0.0,1.4,9.9,350,99,183.0,100
2014-06-02 14:00:00,7.3,0.14,1.7,8.0,355,100,174.0,97
2014-06-02 15:00:00,7.0,0.35,1.5,8.7,355,100,160.0,100
2014-06-02 16:00:00,6.5,0.21,1.2,7.9,357,100,144.0,100
2014-06-02 17:00:00,6.0,0.35,1.2,7.6,360,100,86.0,100
2014-06-02 18:00:00,5.4,0.49,1.2,7.2,3,100,38.0,99
2014-06-02 19:00:00,4.9,0.63,1.4,6.8,357,100,2.0,95
2014-06-02 20:00:00,4.6,0.77,1.6,5.0,360,100,0.0,99
2014-06-02 21:00:00,4.4,0.98,1.8,4.7,360,100,0.0,99
2014-06-02 22:00:00,4.0,0.77,1.4,4.7,4,100,0.0,100
2014-06-02 23:00:00,4.1,0.7,1.4,5.4,20,100,0.0,100
2014-06-03 00:00:00,4.0,1.19,2.0,5.2,16,100,0.0,100
2014-06-03 01:00:00,4.1,1.75,2.7,6.7,344,100,0.0,100
2014-06-03 02:00:00,4.1,1.75,2.7,6.4,317,100,0.0,100
2014-06-03 03:00:00,4.0,1.12,1.8,5.8,300,100,0.0,100
2014-06-03 04:00:00,3.9,0.49,0.8,6.8,302,100,0.0,100
2014-06-03 05:00:00,3.9,0.49,0.8,6.2,291,98,0.0,100
2014-06-03 06:00:00,3.7,0.28,0.5,6.4,286,96,0.0,100
2014-06-03 07:00:00,3.6,0.21,0.3,6.0,287,97,0.0,100
2014-06-03 08:00:00,3.4,0.07,0.1,5.8,277,98,0.0,100
2014-06-03 09:00:00,3.2,0.07,0.0,5.8,277,98,0.0,98
2014-06-03 10:00:00,3.1,0.0,0.0,5.4,270,98,17.0,96
2014-06-03 11:00:00,3.3,0.07,0.0,4.5,284,92,91.0,92
2014-06-03 12:00:00,3.4,0.07,0.0,5.1,274,91,147.0,82
2014-06-03 13:00:00,4.1,0.0,0.0,4.4,279,79,256.0,62
2014-06-03 14:00:00,4.9,0.0,0.0,3.1,306,71,354.0,48
2014-06-03 15:00:00,5.0,0.0,0.0,2.4,333,67,326.0,73
2014-06-03 16:00:00,5.4,0.0,0.0,1.9,338,71,290.0,99
2014-06-03 17:00:00,5.2,0.0,0.0,0.7,360,72,151.0,100
2014-06-03 18:00:00,5.2,0.0,0.0,1.1,90,70,58.0,99
2014-06-03 19:00:00,4.3,0.0,0.0,1.6,117,77,3.0,100
2014-06-03 20:00:00,3.9,0.0,0.0,2.3,108,80,0.0,100
2014-06-03 21:00:00,3.5,0.07,0.0,4.0,90,82,0.0,99
2014-06-03 22:00:00,3.1,0.07,0.0,4.0,100,86,0.0,98
2014-06-03 23:00:00,2.9,0.07,0.1,3.3,84,89,0.0,99
2014-06-04 00:00:00,3.0,0.07,0.2,3.3,84,90,0.0,100
2014-06-04 01:00:00,3.1,0.21,0.3,3.4,72,92,0.0,100
2014-06-04 02:00:00,2.7,0.28,0.4,2.9,60,96,0.0,100
2014-06-04 03:00:00,2.7,0.35,0.5,2.6,34,97,0.0,99
2014-06-04 04:00:00,2.6,0.28,0.4,2.6,16,95,0.0,99
2014-06-04 05:00:00,2.3,0.21,0.3,2.9,353,98,0.0,100
2014-06-04 06:00:00,2.3,0.21,0.3,2.7,337,97,0.0,100
2014-06-04 07:00:00,2.3,0.28,0.4,3.4,302,96,0.0,98
2014-06-04 08:00:00,2.2,0.14,0.2,3.7,299,96,0.0,95
2014-06-04 09:00:00,1.6,0.14,0.2,4.2,301,98,0.0,84
2014-06-04 10:00:00,1.6,0.0,0.0,3.4,302,98,31.0,91
2014-06-04 11:00:00,1.9,0.0,0.0,3.6,307,95,136.0,97
2014-06-04 12:00:00,2.7,0.07,0.0,3.1,306,82,217.0,97
2014-06-04 13:00:00,3.6,0.07,0.0,2.6,326,73,300.0,94
2014-06-04 14:00:00,3.7,0.14,0.2,4.6,342,77,253.0,99
2014-06-04 15:00:00,3.5,0.28,0.4,5.0,339,81,178.0,96
2014-06-04 16:00:00,3.4,0.21,0.3,5.0,330,82,154.0,90
2014-06-04 17:00:00,3.0,0.49,0.7,6.0,327,78,130.0,83
2014-06-04 18:00:00,2.5,0.21,0.3,5.6,320,79,54.0,87
2014-06-04 19:00:00,2.1,0.07,0.1,4.1,308,79,3.0,95
2014-06-04 20:00:00,1.8,0.07,0.0,4.0,297,81,0.0,94
2014-06-04 21:00:00,1.5,0.21,0.3,4.0,297,84,0.0,97
2014-06-04 22:00:00,1.2,0.21,0.3,5.1,309,87,0.0,92
2014-06-04 23:00:00,1.2,0.14,0.2,4.2,301,88,0.0,93
2014-06-05 00:00:00,1.0,0.14,0.2,6.0,303,91,0.0,92
2014-06-05 01:00:00,0.8,0.07,0.0,7.1,300,93,0.0,92
2014-06-05 02:00:00,0.6,0.07,0.0,6.9,298,94,0.0,96
2014-06-05 03:00:00,0.4,0.07,0.0,6.8,288,96,0.0,96
2014-06-05 04:00:00,0.3,0.07,0.1,7.4,284,92,0.0,95
2014-06-05 05:00:00,0.5,0.07,0.1,7.9,286,90,0.0,73
2014-06-05 06:00:00,0.7,0.07,0.0,6.4,286,90,0.0,48
2014-06-05 07:00:00,0.4,0.0,0.0,7.6,278,92,0.0,30
2014-06-05 08:00:00,0.1,0.0,0.0,8.0,280,93,0.0,43
2014-06-05 09:00:00,-0.1,0.0,0.0,8.5,282,94,0.0,43
2014-06-05 10:00:00,-0.2,0.0,0.0,7.4,284,93,35.0,39
2014-06-05 11:00:00,0.4,0.07,0.1,7.5,287,89,149.0,36
2014-06-05 12:00:00,1.4,0.14,0.2,9.7,285,81,222.0,35
2014-06-05 13:00:00,1.9,0.21,0.3,13.3,283,78,310.0,61
2014-06-05 14:00:00,2.2,0.07,0.1,15.2,284,78,314.0,78
2014-06-05 15:00:00,2.2,0.14,0.2,14.4,283,79,320.0,69
2014-06-05 16:00:00,2.1,0.28,0.4,15.5,283,80,250.0,51
2014-06-05 17:00:00,2.1,0.28,0.4,13.7,284,81,201.0,59
2014-06-05 18:00:00,1.6,0.07,0.1,10.1,287,88,65.0,57
2014-06-05 19:00:00,1.3,0.07,0.1,9.7,285,92,3.0,73
2014-06-05 20:00:00,1.3,0.07,0.1,8.3,288,93,0.0,61
2014-06-05 21:00:00,1.3,0.07,0.0,7.2,288,93,0.0,71
2014-06-05 22:00:00,1.3,0.07,0.0,6.4,286,93,0.0,56
2014-06-05 23:00:00,1.3,0.0,0.0,6.4,286,93,0.0,81
2014-06-06 00:00:00,1.1,0.0,0.0,6.4,286,94,0.0,96
2014-06-06 01:00:00,1.2,0.0,0.0,7.0,291,95,0.0,98
2014-06-06 02:00:00,1.6,0.07,0.0,6.8,295,92,0.0,100
2014-06-06 03:00:00,1.8,0.07,0.0,6.8,302,92,0.0,98
2014-06-06 04:00:00,1.8,0.07,0.1,6.2,306,93,0.0,94
2014-06-06 05:00:00,2.1,0.07,0.0,5.6,310,92,0.0,86
2014-06-06 06:00:00,2.3,0.07,0.1,5.6,320,91,0.0,96
2014-06-06 07:00:00,2.4,0.07,0.1,4.0,333,91,0.0,85
2014-06-06 08:00:00,2.4,0.07,0.1,4.7,356,91,0.0,98
2014-06-06 09:00:00,2.4,0.14,0.2,4.7,23,92,0.0,100
2014-06-06 10:00:00,2.6,0.21,0.3,6.0,33,92,13.0,100
2014-06-06 11:00:00,2.8,0.35,0.5,6.5,34,91,58.0,100
2014-06-06 12:00:00,3.1,0.49,0.7,6.4,38,89,91.0,100
2014-06-06 13:00:00,3.2,0.63,0.9,6.3,31,90,111.0,100
2014-06-06 14:00:00,3.4,0.56,0.8,7.0,21,91,158.0,100
2014-06-06 15:00:00,3.5,0.35,0.5,7.8,13,89,152.0,100
2014-06-06 16:00:00,3.2,0.35,0.5,7.4,14,92,97.0,100
2014-06-06 17:00:00,3.0,0.49,0.7,8.1,13,91,72.0,100
2014-06-06 18:00:00,2.6,0.56,0.8,8.3,355,92,35.0,100
2014-06-06 19:00:00,2.3,0.28,0.4,7.6,355,92,2.0,100
2014-06-06 20:00:00,2.0,0.35,0.5,7.1,345,91,0.0,99
2014-06-06 21:00:00,1.9,0.14,0.2,7.0,339,88,0.0,100
2014-06-06 22:00:00,1.8,0.07,0.0,6.4,333,89,0.0,100
2014-06-06 23:00:00,1.7,0.14,0.2,6.3,329,90,0.0,100
2014-06-07 00:00:00,1.6,0.21,0.3,7.2,323,91,0.0,100
2014-06-07 01:00:00,1.3,0.07,0.1,6.9,317,93,0.0,100
2014-06-07 02:00:00,1.1,0.07,0.0,6.9,313,95,0.0,93
2014-06-07 03:00:00,0.9,0.0,0.0,6.9,309,95,0.0,90
2014-06-07 04:00:00,1.0,0.0,0.0,7.9,309,94,0.0,75
2014-06-07 05:00:00,0.8,0.0,0.0,7.4,309,95,0.0,71
2014-06-07 06:00:00,0.6,0.0,0.0,7.1,311,93,0.0,54
2014-06-07 07:00:00,0.3,0.0,0.0,6.1,320,91,0.0,72
2014-06-07 08:00:00,0.3,0.0,0.0,6.0,327,90,0.0,91
2014-06-07 09:00:00,0.1,0.07,0.0,5.9,349,89,0.0,96
2014-06-07 10:00:00,-0.1,0.35,0.5,5.5,11,90,24.0,95
2014-06-07 11:00:00,0.1,0.35,0.5,5.6,333,88,106.0,92
2014-06-07 12:00:00,1.4,0.49,0.7,7.5,305,86,170.0,82
2014-06-07 13:00:00,2.7,0.14,0.2,9.0,293,82,237.0,80
2014-06-07 14:00:00,3.5,0.49,0.7,9.9,289,79,293.0,54
2014-06-07 15:00:00,3.6,0.35,0.6,10.6,288,80,260.0,72
2014-06-07 16:00:00,3.5,0.28,0.4,10.9,287,82,214.0,78
2014-06-07 17:00:00,3.3,0.14,0.2,9.6,290,85,144.0,73
2014-06-07 18:00:00,2.7,0.21,0.3,9.8,294,90,66.0,76
2014-06-07 19:00:00,2.3,0.07,0.0,6.6,292,90,3.0,48
2014-06-07 20:00:00,2.2,0.07,0.1,6.1,298,92,0.0,73
2014-06-07 21:00:00,1.9,0.14,0.2,5.9,313,94,0.0,93
2014-06-07 22:00:00,2.0,0.14,0.2,6.6,319,95,0.0,94
2014-06-07 23:00:00,1.7,0.28,0.4,6.5,326,96,0.0,98
2014-06-08 00:00:00,1.6,0.42,0.6,6.9,332,95,0.0,100
2014-06-08 01:00:00,1.9,0.77,1.1,6.6,338,92,0.0,100
2014-06-08 02:00:00,2.0,1.12,1.6,6.3,336,94,0.0,100
2014-06-08 03:00:00,2.1,1.61,2.3,5.6,345,96,0.0,100
2014-06-08 04:00:00,2.2,1.61,2.3,4.4,9,96,0.0,100
2014-06-08 05:00:00,2.1,1.75,2.5,5.4,20,99,0.0,100
2014-06-08 06:00:00,2.1,1.96,2.8,4.7,360,99,0.0,100
