time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-06-01 00:00:00,-4.4,0.0,0.0,8.3,288,48,0.0,1
2014-06-01 01:00:00,-4.5,0.0,0.0,8.3,288,46,0.0,9
2014-06-01 02:00:00,-4.3,0.0,0.0,8.7,287,43,0.0,0
2014-06-01 03:00:00,-4.0,0.0,0.0,10.5,286,40,0.0,0
2014-06-01 04:00:00,-3.6,0.0,0.0,10.5,286,34,0.0,52
2014-06-01 05:00:00,-4.6,0.0,0.0,10.1,287,35,0.0,86
2014-06-01 06:00:00,-5.0,0.0,0.0,9.3,286,36,0.0,83
2014-06-01 07:00:00,-4.9,0.0,0.0,12.3,285,36,0.0,59
2014-06-01 08:00:00,-4.2,0.0,0.0,12.4,287,34,0.0,6
2014-06-01 09:00:00,-3.6,0.0,0.0,12.1,287,33,3.0,0
2014-06-01 10:00:00,-3.2,0.0,0.0,8.0,288,33,116.0,0
2014-06-01 11:00:00,-2.3,0.0,0.0,8.7,287,36,311.0,0
2014-06-01 12:00:00,-0.4,0.0,0.0,8.0,288,35,476.0,0
2014-06-01 13:00:00,0.8,0.0,0.0,7.3,290,34,571.0,0
2014-06-01 14:00:00,1.7,0.0,0.0,7.3,290,34,609.0,8
2014-06-01 15:00:00,2.0,0.0,0.0,7.3,290,34,578.0,8
2014-06-01 16:00:00,2.7,0.0,0.0,6.6,292,32,488.0,0
2014-06-01 17:00:00,2.1,0.0,0.0,6.4,286,33,349.0,0
2014-06-01 18:00:00,1.1,0.0,0.0,10.8,285,31,172.0,21
2014-06-01 19:00:00,-0.1,0.0,0.0,13.0,289,32,18.0,40
2014-06-01 20:00:00,-1.1,0.0,0.0,11.0,293,37,0.0,17
2014-06-01 21:00:00,-1.4,0.0,0.0,11.3,292,40,0.0,17
2014-06-01 22:00:00,-1.7,0.0,0.0,11.2,291,43,0.0,11
2014-06-01 23:00:00,-1.9,0.0,0.0,11.2,291,43,0.0,7
2014-06-02 00:00:00,-2.0,0.0,0.0,11.5,290,44,0.0,32
2014-06-02 01:00:00,-1.9,0.0,0.0,12.1,287,44,0.0,7
2014-06-02 02:00:00,-2.0,0.0,0.0,12.1,287,45,0.0,0
2014-06-02 03:00:00,-2.3,0.0,0.0,11.7,288,47,0.0,92
2014-06-02 04:00:00,-2.2,0.0,0.0,10.1,287,42,0.0,100
2014-06-02 05:00:00,-2.3,0.0,0.0,9.8,287,42,0.0,0
2014-06-02 06:00:00,-2.4,0.0,0.0,11.3,287,41,0.0,4
2014-06-02 07:00:00,-2.4,0.0,0.0,13.8,290,39,0.0,96
2014-06-02 08:00:00,-2.1,0.0,0.0,12.4,287,37,0.0,95
2014-06-02 09:00:00,-1.6,0.0,0.0,11.7,288,34,3.0,25
2014-06-02 10:00:00,-1.0,0.0,0.0,9.1,288,32,109.0,17
2014-06-02 11:00:00,0.0,0.0,0.0,10.1,287,34,275.0,6
2014-06-02 12:00:00,1.4,0.0,0.0,9.7,285,35,411.0,0
2014-06-02 13:00:00,3.1,0.0,0.0,9.3,286,33,506.0,0
2014-06-02 14:00:00,4.0,0.0,0.0,9.0,286,33,553.0,0
2014-06-02 15:00:00,4.5,0.0,0.0,9.9,289,33,559.0,2
2014-06-02 16:00:00,3.6,0.0,0.0,11.6,296,29,462.0,6
2014-06-02 17:00:00,3.3,0.0,0.0,10.6,294,28,327.0,7
2014-06-02 18:00:00,2.9,0.0,0.0,9.8,294,25,150.0,0
2014-06-02 19:00:00,2.1,0.0,0.0,12.1,293,27,14.0,0
2014-06-02 20:00:00,1.9,0.0,0.0,11.2,291,27,0.0,5
2014-06-02 21:00:00,2.1,0.0,0.0,11.5,290,28,0.0,0
2014-06-02 22:00:00,2.2,0.0,0.0,12.8,292,30,0.0,0
2014-06-02 23:00:00,1.4,0.0,0.0,13.9,291,33,0.0,9
2014-06-03 00:00:00,0.7,0.0,0.0,13.4,290,36,0.0,14
2014-06-03 01:00:00,-0.0,0.0,0.0,13.4,294,39,0.0,30
2014-06-03 02:00:00,-1.1,0.0,0.0,13.0,294,45,0.0,80
2014-06-03 03:00:00,-2.0,0.0,0.0,12.2,294,50,0.0,92
2014-06-03 04:00:00,-0.6,0.0,0.0,11.9,295,44,0.0,92
2014-06-03 05:00:00,-1.5,0.0,0.0,11.6,296,49,0.0,99
2014-06-03 06:00:00,-2.6,0.0,0.0,11.4,294,56,0.0,97
2014-06-03 07:00:00,-3.6,0.0,0.0,11.3,297,63,0.0,97
2014-06-03 08:00:00,-4.3,0.0,0.0,11.0,293,68,0.0,100
2014-06-03 09:00:00,-4.8,0.0,0.0,9.2,291,75,3.0,97
2014-06-03 10:00:00,-4.6,0.0,0.0,6.0,295,81,85.0,90
2014-06-03 11:00:00,-3.4,0.0,0.0,7.2,297,83,210.0,84
2014-06-03 12:00:00,-1.8,0.07,0.1,7.1,294,82,333.0,98
2014-06-03 13:00:00,-1.9,0.14,0.2,7.1,294,86,396.0,100
2014-06-03 14:00:00,-1.9,0.21,0.3,6.6,292,86,456.0,100
2014-06-03 15:00:00,-1.9,0.56,0.8,7.1,311,87,418.0,100
2014-06-03 16:00:00,-1.5,0.56,0.8,5.9,317,87,289.0,100
2014-06-03 17:00:00,-2.0,0.84,1.2,4.4,325,90,140.0,100
2014-06-03 18:00:00,-2.5,1.05,1.5,5.1,321,92,63.0,100
2014-06-03 19:00:00,-3.0,1.54,2.2,7.2,307,94,6.0,100
2014-06-03 20:00:00,-3.3,2.38,3.4,7.3,279,93,0.0,100
2014-06-03 21:00:00,-3.8,2.52,3.6,6.4,297,94,0.0,100
2014-06-03 22:00:00,-4.0,2.38,3.4,8.2,285,93,0.0,100
2014-06-03 23:00:00,-4.0,2.17,3.1,8.3,272,93,0.0,100
2014-06-04 00:00:00,-4.3,1.75,2.5,7.9,273,92,0.0,100
2014-06-04 01:00:00,-4.6,1.4,2.0,9.4,274,91,0.0,100
2014-06-04 02:00:00,-5.0,1.19,1.7,11.0,281,90,0.0,99
2014-06-04 03:00:00,-5.1,0.91,1.3,12.2,284,86,0.0,89
2014-06-04 04:00:00,-5.4,0.28,0.4,11.4,283,86,0.0,96
2014-06-04 05:00:00,-5.8,0.21,0.3,12.7,285,85,0.0,100
2014-06-04 06:00:00,-5.8,0.14,0.2,14.2,291,82,0.0,96
2014-06-04 07:00:00,-6.1,0.07,0.1,11.6,292,79,0.0,92
2014-06-04 08:00:00,-6.8,0.14,0.2,10.6,294,79,0.0,100
2014-06-04 09:00:00,-6.9,0.14,0.2,10.3,295,81,2.0,99
2014-06-04 10:00:00,-6.4,0.14,0.2,10.1,297,81,84.0,94
