time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-06-01 00:00:00,-6.8,0.0,0.0,4.8,312,77,0.0,3
2014-06-01 01:00:00,-7.2,0.0,0.0,4.8,312,77,0.0,2
2014-06-01 02:00:00,-7.4,0.0,0.0,5.1,315,77,0.0,3
2014-06-01 03:00:00,-7.6,0.0,0.0,5.4,312,77,0.0,1
2014-06-01 04:00:00,-7.8,0.0,0.0,5.4,312,79,0.0,2
2014-06-01 05:00:00,-7.8,0.0,0.0,5.4,312,80,0.0,2
2014-06-01 06:00:00,-7.8,0.0,0.0,5.4,312,81,0.0,0
2014-06-01 07:00:00,-8.2,0.0,0.0,5.1,315,82,0.0,0
2014-06-01 08:00:00,-8.1,0.0,0.0,5.1,315,80,0.0,1
2014-06-01 09:00:00,-6.6,0.0,0.0,4.8,312,76,51.0,0
2014-06-01 10:00:00,-2.9,0.0,0.0,5.6,310,73,187.0,0
2014-06-01 11:00:00,0.4,0.0,0.0,4.4,305,67,306.0,0
2014-06-01 12:00:00,1.9,0.0,0.0,3.6,307,60,385.0,0
2014-06-01 13:00:00,2.5,0.0,0.0,2.3,309,54,414.0,0
2014-06-01 14:00:00,2.8,0.0,0.0,1.4,360,54,388.0,0
2014-06-01 15:00:00,2.7,0.0,0.0,1.9,22,55,311.0,1
2014-06-01 16:00:00,1.8,0.0,0.0,2.3,18,61,193.0,0
2014-06-01 17:00:00,0.5,0.0,0.0,3.2,360,64,58.0,1
2014-06-01 18:00:00,-1.3,0.0,0.0,5.5,328,69,0.0,5
2014-06-01 19:00:00,-4.4,0.0,0.0,6.1,315,75,0.0,10
2014-06-01 20:00:00,-5.8,0.0,0.0,6.1,310,73,0.0,21
2014-06-01 21:00:00,-6.6,0.0,0.0,5.6,310,68,0.0,10
2014-06-01 22:00:00,-7.2,0.0,0.0,5.6,310,64,0.0,0
2014-06-01 23:00:00,-7.3,0.0,0.0,5.1,309,60,0.0,0
2014-06-02 00:00:00,-7.3,0.0,0.0,4.6,309,57,0.0,7
2014-06-02 01:00:00,-7.0,0.0,0.0,4.1,308,53,0.0,14
2014-06-02 02:00:00,-6.8,0.0,0.0,3.6,307,52,0.0,23
2014-06-02 03:00:00,-6.5,0.0,0.0,3.6,307,50,0.0,16
2014-06-02 04:00:00,-6.3,0.0,0.0,3.1,306,49,0.0,13
2014-06-02 05:00:00,-6.5,0.0,0.0,3.4,302,50,0.0,8
2014-06-02 06:00:00,-6.8,0.0,0.0,3.1,306,52,0.0,4
2014-06-02 07:00:00,-6.3,0.0,0.0,3.1,306,50,0.0,0
2014-06-02 08:00:00,-6.8,0.0,0.0,3.3,311,53,0.0,0
2014-06-02 09:00:00,-6.3,0.0,0.0,3.8,311,58,50.0,0
2014-06-02 10:00:00,-2.8,0.0,0.0,4.6,309,63,186.0,0
2014-06-02 11:00:00,0.1,0.0,0.0,3.4,302,60,306.0,0
2014-06-02 12:00:00,1.4,0.0,0.0,1.9,292,51,383.0,0
2014-06-02 13:00:00,2.2,0.0,0.0,1.6,297,50,412.0,0
2014-06-02 14:00:00,2.4,0.0,0.0,1.5,284,53,385.0,1
2014-06-02 15:00:00,2.2,0.0,0.0,0.8,297,56,309.0,7
2014-06-02 16:00:00,1.4,0.0,0.0,1.1,360,63,190.0,5
2014-06-02 17:00:00,0.1,0.0,0.0,1.8,360,67,57.0,9
2014-06-02 18:00:00,-1.6,0.0,0.0,4.0,333,71,0.0,13
2014-06-02 19:00:00,-4.4,0.0,0.0,4.8,318,76,0.0,16
2014-06-02 20:00:00,-6.0,0.0,0.0,4.8,312,77,0.0,19
2014-06-02 21:00:00,-6.7,0.0,0.0,4.1,308,76,0.0,36
2014-06-02 22:00:00,-7.1,0.0,0.0,5.1,309,73,0.0,49
2014-06-02 23:00:00,-7.2,0.0,0.0,4.6,309,68,0.0,55
2014-06-03 00:00:00,-7.1,0.0,0.0,4.1,308,63,0.0,50
2014-06-03 01:00:00,-7.1,0.0,0.0,4.1,308,60,0.0,41
2014-06-03 02:00:00,-7.1,0.0,0.0,3.3,311,56,0.0,26
2014-06-03 03:00:00,-7.1,0.0,0.0,3.1,306,54,0.0,12
2014-06-03 04:00:00,-7.0,0.0,0.0,3.4,302,51,0.0,18
2014-06-03 05:00:00,-7.0,0.0,0.0,3.6,307,50,0.0,12
2014-06-03 06:00:00,-7.2,0.0,0.0,4.1,308,49,0.0,13
2014-06-03 07:00:00,-7.3,0.0,0.0,4.1,308,48,0.0,17
2014-06-03 08:00:00,-7.4,0.0,0.0,3.8,311,48,0.0,1
2014-06-03 09:00:00,-6.6,0.0,0.0,3.8,311,52,49.0,4
2014-06-03 10:00:00,-2.9,0.0,0.0,5.1,315,59,183.0,2
2014-06-03 11:00:00,0.1,0.0,0.0,3.1,315,57,303.0,2
2014-06-03 12:00:00,1.4,0.0,0.0,1.3,304,50,380.0,5
2014-06-03 13:00:00,2.0,0.0,0.0,0.4,180,51,409.0,6
2014-06-03 14:00:00,2.2,0.0,0.0,1.5,104,54,383.0,3
2014-06-03 15:00:00,2.0,0.0,0.0,2.2,90,57,302.0,0
2014-06-03 16:00:00,1.2,0.0,0.0,1.9,68,64,189.0,0
2014-06-03 17:00:00,-0.0,0.0,0.0,2.3,72,69,56.0,0
2014-06-03 18:00:00,-1.2,0.0,0.0,2.5,8,72,0.0,0
2014-06-03 19:00:00,-2.7,0.0,0.0,4.3,336,78,0.0,0
2014-06-03 20:00:00,-5.0,0.0,0.0,5.4,323,82,0.0,0
2014-06-03 21:00:00,-6.4,0.0,0.0,5.6,320,83,0.0,0
2014-06-03 22:00:00,-7.2,0.0,0.0,4.8,318,84,0.0,0
2014-06-03 23:00:00,-7.7,0.0,0.0,6.4,317,84,0.0,0
2014-06-04 00:00:00,-7.7,0.0,0.0,6.9,317,83,0.0,0
2014-06-04 01:00:00,-7.7,0.0,0.0,7.9,317,81,0.0,0
2014-06-04 02:00:00,-7.7,0.0,0.0,8.1,315,78,0.0,0
2014-06-04 03:00:00,-7.7,0.0,0.0,8.4,313,75,0.0,0
2014-06-04 04:00:00,-7.8,0.0,0.0,8.7,315,72,0.0,0
2014-06-04 05:00:00,-7.9,0.0,0.0,8.7,315,71,0.0,0
2014-06-04 06:00:00,-7.9,0.0,0.0,8.7,315,72,0.0,0
2014-06-04 07:00:00,-8.1,0.0,0.0,8.7,315,66,0.0,1
2014-06-04 08:00:00,-7.8,0.0,0.0,8.9,317,67,0.0,3
2014-06-04 09:00:00,-6.4,0.0,0.0,9.9,316,69,46.0,3
2014-06-04 10:00:00,-2.3,0.0,0.0,10.3,324,69,169.0,5
2014-06-04 11:00:00,0.8,0.0,0.0,6.3,329,63,292.0,2
2014-06-04 12:00:00,2.6,0.0,0.0,5.8,338,58,378.0,1
2014-06-04 13:00:00,3.3,0.0,0.0,5.6,345,56,401.0,0
2014-06-04 14:00:00,3.6,0.0,0.0,4.8,347,56,388.0,1
2014-06-04 15:00:00,3.4,0.0,0.0,6.8,335,57,308.0,0
2014-06-04 16:00:00,2.7,0.0,0.0,6.3,329,60,191.0,1
2014-06-04 17:00:00,0.6,0.0,0.0,7.4,331,70,54.0,0
2014-06-04 18:00:00,-1.7,0.0,0.0,10.6,325,72,0.0,5
2014-06-04 19:00:00,-2.8,0.0,0.0,11.8,322,73,0.0,24
2014-06-04 20:00:00,-3.7,0.0,0.0,12.8,322,74,0.0,35
2014-06-04 21:00:00,-4.2,0.0,0.0,12.5,321,77,0.0,57
2014-06-04 22:00:00,-4.0,0.0,0.0,13.0,321,79,0.0,82
2014-06-04 23:00:00,-3.7,0.0,0.0,13.6,320,81,0.0,96
2014-06-05 00:00:00,-3.2,0.0,0.0,13.6,323,83,0.0,96
2014-06-05 01:00:00,-2.5,0.0,0.0,13.9,323,84,0.0,99
2014-06-05 02:00:00,-2.0,0.0,0.0,13.7,325,85,0.0,96
2014-06-05 03:00:00,-1.6,0.0,0.0,13.2,325,86,0.0,95
2014-06-05 04:00:00,-1.2,0.0,0.0,13.5,326,87,0.0,100
2014-06-05 05:00:00,-1.0,0.0,0.0,11.7,326,88,0.0,100
2014-06-05 06:00:00,-0.6,0.0,0.0,10.9,326,88,0.0,100
2014-06-05 07:00:00,-0.1,0.0,0.0,11.6,324,90,0.0,100
