time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-10-01 00:00:00,14.0,0.0,0.1,4.0,360,99,0.0,100
2014-10-01 01:00:00,13.9,0.0,0.2,4.4,351,99,0.0,100
2014-10-01 02:00:00,13.9,0.0,0.4,5.1,352,98,0.0,100
2014-10-01 03:00:00,13.7,0.0,0.5,5.2,348,98,0.0,100
2014-10-01 04:00:00,14.1,0.0,0.4,5.9,346,97,0.0,100
2014-10-01 05:00:00,13.7,0.0,0.4,5.9,346,98,0.0,100
2014-10-01 06:00:00,13.5,0.0,0.2,4.6,342,98,1.0,100
2014-10-01 07:00:00,13.5,0.0,0.0,4.2,340,97,29.0,99
2014-10-01 08:00:00,14.1,0.0,0.0,3.6,360,94,92.0,98
2014-10-01 09:00:00,15.4,0.0,0.0,2.5,352,87,277.0,99
2014-10-01 10:00:00,17.0,0.0,0.0,2.7,337,80,304.0,100
2014-10-01 11:00:00,17.8,0.0,0.0,4.6,342,78,324.0,100
2014-10-01 12:00:00,18.8,0.0,0.0,5.9,346,74,405.0,100
2014-10-01 13:00:00,18.5,0.0,0.0,6.4,344,77,312.0,100
2014-10-01 14:00:00,18.9,0.0,0.0,7.2,360,75,383.0,100
2014-10-01 15:00:00,18.9,0.0,0.0,8.3,5,76,312.0,99
2014-10-01 16:00:00,18.0,0.0,0.0,8.3,5,78,215.0,86
2014-10-01 17:00:00,17.1,0.0,0.0,6.8,357,81,76.0,91
2014-10-01 18:00:00,16.1,0.0,0.0,4.3,360,86,6.0,90
2014-10-01 19:00:00,15.2,0.0,0.0,2.5,352,92,0.0,96
2014-10-01 20:00:00,14.9,0.0,0.0,1.4,360,91,0.0,93
2014-10-01 21:00:00,14.2,0.0,0.0,0.7,360,95,0.0,94
2014-10-01 22:00:00,13.8,0.0,0.0,1.1,180,96,0.0,96
2014-10-01 23:00:00,13.6,0.0,0.0,1.1,162,97,0.0,86
2014-10-02 00:00:00,13.4,0.0,0.0,0.5,135,98,0.0,99
2014-10-02 01:00:00,12.7,0.0,0.0,1.0,135,99,0.0,97
2014-10-02 02:00:00,12.6,0.0,0.0,3.2,153,99,0.0,82
2014-10-02 03:00:00,12.5,0.0,0.0,3.1,159,100,0.0,95
2014-10-02 04:00:00,12.7,0.0,0.0,4.2,160,100,0.0,97
2014-10-02 05:00:00,13.0,0.0,0.0,5.2,164,100,0.0,99
2014-10-02 06:00:00,12.9,0.0,0.0,6.5,161,99,2.0,95
2014-10-02 07:00:00,13.8,0.0,0.0,7.1,165,98,64.0,88
2014-10-02 08:00:00,16.3,0.0,0.0,6.7,164,89,208.0,31
2014-10-02 09:00:00,19.2,0.0,0.0,6.4,164,77,444.0,18
2014-10-02 10:00:00,20.7,0.0,0.0,6.9,174,68,557.0,16
2014-10-02 11:00:00,22.2,0.0,0.0,5.8,184,59,629.0,12
2014-10-02 12:00:00,23.4,0.0,0.0,5.2,214,53,727.0,34
2014-10-02 13:00:00,23.2,0.0,0.0,4.0,260,55,635.0,87
2014-10-02 14:00:00,22.2,0.0,0.0,3.6,6,61,410.0,78
2014-10-02 15:00:00,21.1,0.0,0.0,4.9,73,69,239.0,69
2014-10-02 16:00:00,22.0,0.0,0.0,4.3,90,69,224.0,52
2014-10-02 17:00:00,20.4,0.0,0.0,4.6,108,76,90.0,73
2014-10-02 18:00:00,19.1,0.0,0.0,5.5,148,81,5.0,81
2014-10-02 19:00:00,18.6,0.0,0.0,4.1,165,83,0.0,97
2014-10-02 20:00:00,18.1,0.0,0.0,4.7,176,84,0.0,87
2014-10-02 21:00:00,17.6,0.0,0.0,5.1,184,83,0.0,94
2014-10-02 22:00:00,17.0,0.0,0.0,5.1,172,85,0.0,91
