time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2022-05-01 00:00:00,0.6,0.0,0.0,15.0,280,94,0.0,84
2022-05-01 01:00:00,0.6,0.0,0.0,14.5,276,93,0.0,91
2022-05-01 02:00:00,0.5,0.0,0.0,13.3,273,93,0.0,72
2022-05-01 03:00:00,0.5,0.0,0.0,12.6,273,91,0.0,50
2022-05-01 04:00:00,0.2,0.0,0.0,11.9,272,92,0.0,26
2022-05-01 05:00:00,0.1,0.0,0.0,12.3,275,95,0.0,43
2022-05-01 06:00:00,0.0,0.0,0.0,12.0,279,97,0.0,40
2022-05-01 07:00:00,0.2,0.0,0.0,10.9,279,97,2.0,30
2022-05-01 08:00:00,3.0,0.0,0.0,9.1,279,85,95.0,48
2022-05-01 09:00:00,6.2,0.0,0.0,5.8,277,69,284.0,60
2022-05-01 10:00:00,7.8,0.0,0.0,4.7,279,63,446.0,95
2022-05-01 11:00:00,9.3,0.0,0.0,5.5,281,60,555.0,16
2022-05-01 12:00:00,9.8,0.0,0.0,7.6,275,59,631.0,97
2022-05-01 13:00:00,10.0,0.0,0.0,7.1,285,59,605.0,95
2022-05-01 14:00:00,9.8,0.0,0.0,7.0,291,59,518.0,72
2022-05-01 15:00:00,9.4,0.0,0.0,6.0,303,61,433.0,32
2022-05-01 16:00:00,8.5,0.0,0.0,6.0,303,65,286.0,35
2022-05-01 17:00:00,6.6,0.0,0.0,4.1,308,76,119.0,14
2022-05-01 18:00:00,4.4,0.0,0.0,5.0,291,85,4.0,6
2022-05-01 19:00:00,3.0,0.0,0.0,5.5,281,91,0.0,4
2022-05-01 20:00:00,2.6,0.0,0.0,5.8,274,88,0.0,27
2022-05-01 21:00:00,2.5,0.0,0.0,5.4,274,85,0.0,22
2022-05-01 22:00:00,1.3,0.0,0.0,6.1,273,92,0.0,14
2022-05-01 23:00:00,1.2,0.0,0.0,6.1,270,90,0.0,27
2022-05-02 00:00:00,1.0,0.0,0.0,5.8,274,89,0.0,40
2022-05-02 01:00:00,1.1,0.0,0.0,5.4,278,86,0.0,18
