time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-06-01 00:00:00,-16.9,0.0,0.0,4.9,73,20,0.0,0
2014-06-01 01:00:00,-16.3,0.0,0.0,4.3,66,19,0.0,0
2014-06-01 02:00:00,-15.8,0.0,0.0,3.9,68,19,0.0,0
2014-06-01 03:00:00,-15.2,0.0,0.0,3.9,68,16,0.0,0
2014-06-01 04:00:00,-14.9,0.0,0.0,3.9,68,17,0.0,0
2014-06-01 05:00:00,-14.6,0.0,0.0,4.3,66,16,0.0,8
2014-06-01 06:00:00,-14.6,0.0,0.0,4.7,67,17,0.0,1
2014-06-01 07:00:00,-14.6,0.0,0.0,5.0,69,17,0.0,0
2014-06-01 08:00:00,-14.7,0.0,0.0,5.0,69,17,9.0,0
2014-06-01 09:00:00,-14.3,0.0,0.0,5.4,70,17,156.0,0
2014-06-01 10:00:00,-14.0,0.0,0.0,4.7,67,18,354.0,0
2014-06-01 11:00:00,-13.6,0.0,0.0,3.9,68,19,516.0,0
2014-06-01 12:00:00,-13.3,0.0,0.0,2.4,63,19,624.0,0
2014-06-01 13:00:00,-13.0,0.0,0.0,1.6,63,19,668.0,0
2014-06-01 14:00:00,-12.8,0.0,0.0,1.3,56,18,645.0,0
2014-06-01 15:00:00,-12.6,0.0,0.0,1.3,56,19,554.0,0
2014-06-01 16:00:00,-13.3,0.0,0.0,1.6,63,20,406.0,0
2014-06-01 17:00:00,-13.9,0.0,0.0,1.9,68,20,215.0,0
2014-06-01 18:00:00,-14.2,0.0,0.0,3.9,68,19,33.0,0
2014-06-01 19:00:00,-14.3,0.0,0.0,4.3,66,18,0.0,0
2014-06-01 20:00:00,-14.1,0.0,0.0,3.9,68,17,0.0,3
2014-06-01 21:00:00,-13.9,0.0,0.0,3.2,63,17,0.0,5
2014-06-01 22:00:00,-13.7,0.0,0.0,2.7,67,17,0.0,0
2014-06-01 23:00:00,-13.7,0.0,0.0,3.1,69,18,0.0,0
2014-06-02 00:00:00,-13.7,0.0,0.0,2.7,67,19,0.0,0
2014-06-02 01:00:00,-13.8,0.0,0.0,2.7,67,22,0.0,1
2014-06-02 02:00:00,-14.0,0.0,0.0,2.7,67,24,0.0,14
2014-06-02 03:00:00,-13.9,0.0,0.0,3.2,63,20,0.0,8
2014-06-02 04:00:00,-14.0,0.0,0.0,3.5,66,22,0.0,29
2014-06-02 05:00:00,-14.2,0.0,0.0,4.2,70,23,0.0,100
2014-06-02 06:00:00,-14.3,0.0,0.0,4.1,75,24,0.0,99
2014-06-02 07:00:00,-14.3,0.0,0.0,4.2,70,24,0.0,99
2014-06-02 08:00:00,-14.3,0.0,0.0,4.6,72,24,7.0,98
2014-06-02 09:00:00,-14.0,0.0,0.0,4.6,72,23,121.0,91
2014-06-02 10:00:00,-13.4,0.0,0.0,3.9,68,23,297.0,95
2014-06-02 11:00:00,-12.9,0.0,0.0,3.5,66,24,445.0,95
2014-06-02 12:00:00,-12.6,0.0,0.0,2.1,59,24,551.0,75
2014-06-02 13:00:00,-12.4,0.0,0.0,1.5,45,23,575.0,93
2014-06-02 14:00:00,-12.3,0.0,0.0,0.8,27,24,569.0,85
