time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-10-01 00:00:00,7.1,0.0,0.0,6.5,270,86,0.0,2
2014-10-01 01:00:00,5.8,0.0,0.0,6.1,267,91,0.0,2
2014-10-01 02:00:00,5.2,0.0,0.0,6.2,263,90,0.0,6
2014-10-01 03:00:00,4.8,0.0,0.0,5.5,259,91,0.0,5
2014-10-01 04:00:00,4.2,0.0,0.0,5.4,262,92,0.0,11
2014-10-01 05:00:00,4.0,0.0,0.0,5.4,266,93,0.0,5
2014-10-01 06:00:00,4.1,0.0,0.0,4.7,270,93,13.0,7
2014-10-01 07:00:00,6.7,0.0,0.0,5.8,270,88,143.0,3
2014-10-01 08:00:00,9.2,0.0,0.0,7.8,283,72,329.0,6
2014-10-01 09:00:00,10.6,0.0,0.0,10.0,291,61,495.0,17
2014-10-01 10:00:00,11.9,0.0,0.0,10.9,287,56,607.0,35
2014-10-01 11:00:00,12.9,0.0,0.0,11.8,282,51,642.0,69
2014-10-01 12:00:00,13.5,0.0,0.0,12.7,285,50,554.0,78
2014-10-01 13:00:00,13.7,0.0,0.0,14.9,285,48,459.0,83
2014-10-01 14:00:00,13.7,0.0,0.0,14.8,284,48,315.0,85
2014-10-01 15:00:00,13.6,0.0,0.0,12.6,283,49,236.0,86
2014-10-01 16:00:00,13.2,0.0,0.0,8.8,282,52,193.0,43
2014-10-01 17:00:00,12.3,0.0,0.0,5.7,288,55,60.0,40
2014-10-01 18:00:00,10.8,0.0,0.0,5.0,270,63,0.0,93
2014-10-01 19:00:00,9.3,0.0,0.0,5.9,256,73,0.0,56
2014-10-01 20:00:00,8.0,0.0,0.0,6.5,267,78,0.0,92
2014-10-01 21:00:00,7.3,0.0,0.0,5.8,274,81,0.0,61
2014-10-01 22:00:00,6.8,0.0,0.0,5.1,278,84,0.0,26
2014-10-01 23:00:00,6.5,0.0,0.0,5.1,278,86,0.0,39
2014-10-02 00:00:00,5.9,0.0,0.0,4.7,279,87,0.0,74
2014-10-02 01:00:00,5.5,0.0,0.0,5.4,278,88,0.0,100
2014-10-02 02:00:00,5.3,0.0,0.0,4.7,274,89,0.0,95
2014-10-02 03:00:00,4.8,0.0,0.0,4.7,279,91,0.0,40
2014-10-02 04:00:00,4.8,0.0,0.0,4.7,279,90,0.0,47
2014-10-02 05:00:00,5.6,0.0,0.0,4.3,275,90,0.0,34
2014-10-02 06:00:00,5.3,0.0,0.0,4.0,270,91,11.0,60
2014-10-02 07:00:00,8.2,0.0,0.0,4.3,275,86,121.0,99
2014-10-02 08:00:00,10.6,0.0,0.0,3.2,270,73,216.0,100
2014-10-02 09:00:00,12.0,0.0,0.0,3.3,264,65,340.0,100
2014-10-02 10:00:00,13.1,0.0,0.0,2.9,263,60,460.0,100
2014-10-02 11:00:00,14.0,0.0,0.0,2.6,254,57,548.0,100
2014-10-02 12:00:00,14.5,0.0,0.0,2.7,247,54,503.0,100
2014-10-02 13:00:00,15.1,0.0,0.0,2.4,207,51,471.0,100
2014-10-02 14:00:00,15.0,0.0,0.0,3.6,180,51,306.0,99
2014-10-02 15:00:00,14.5,0.0,0.0,5.3,152,56,170.0,99
2014-10-02 16:00:00,13.9,0.0,0.0,6.9,133,61,132.0,100
2014-10-02 17:00:00,12.5,0.0,0.0,6.3,121,68,37.0,100
2014-10-02 18:00:00,11.3,0.0,0.0,5.6,105,75,0.0,100
2014-10-02 19:00:00,10.2,0.0,0.0,4.7,113,84,0.0,100
2014-10-02 20:00:00,9.3,0.0,0.0,5.1,86,88,0.0,100
2014-10-02 21:00:00,8.9,0.0,0.0,5.0,90,89,0.0,100
2014-10-02 22:00:00,8.7,0.0,0.0,3.6,84,91,0.0,100
2014-10-02 23:00:00,8.4,0.0,0.0,4.0,63,92,0.0,100
2014-10-03 00:00:00,8.6,0.0,0.0,3.8,41,92,0.0,100
2014-10-03 01:00:00,9.2,0.0,0.0,3.5,24,91,0.0,100
2014-10-03 02:00:00,9.6,0.0,0.2,4.2,20,90,0.0,100
2014-10-03 03:00:00,9.9,0.0,0.2,3.5,24,90,0.0,100
2014-10-03 04:00:00,10.3,0.0,0.3,2.8,40,86,0.0,99
2014-10-03 05:00:00,10.3,0.0,0.5,2.3,51,92,0.0,100
2014-10-03 06:00:00,10.5,0.0,0.8,2.0,45,94,1.0,100
2014-10-03 07:00:00,10.8,0.0,0.5,1.8,37,95,10.0,100
2014-10-03 08:00:00,11.5,0.0,0.3,2.5,45,95,32.0,100
2014-10-03 09:00:00,12.0,0.0,0.2,3.6,45,95,28.0,100
2014-10-03 10:00:00,12.5,0.0,0.2,4.6,72,93,74.0,100
2014-10-03 11:00:00,12.8,0.0,0.1,5.5,79,93,48.0,100
2014-10-03 12:00:00,13.3,0.0,0.2,5.4,82,92,104.0,100
2014-10-03 13:00:00,13.5,0.0,0.5,4.4,81,93,89.0,100
2014-10-03 14:00:00,13.7,0.0,0.8,4.7,90,96,100.0,100
2014-10-03 15:00:00,13.6,0.0,0.1,4.0,100,98,64.0,100
2014-10-03 16:00:00,13.5,0.0,0.1,3.6,96,98,39.0,100
2014-10-03 17:00:00,13.4,0.0,0.3,2.9,120,98,16.0,100
2014-10-03 18:00:00,13.2,0.0,0.5,4.5,151,97,0.0,86
2014-10-03 19:00:00,12.7,0.0,0.9,3.5,294,97,0.0,88
