time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-06-01 00:00:00,6.4,0.0,0.0,5.4,82,98,0.0,100
2014-06-01 01:00:00,6.1,0.0,0.0,5.8,83,99,0.0,100
2014-06-01 02:00:00,6.1,0.0,0.0,5.8,83,99,0.0,100
2014-06-01 03:00:00,6.1,0.0,0.0,6.1,87,99,0.0,99
2014-06-01 04:00:00,6.0,0.0,0.0,6.1,87,99,0.0,100
2014-06-01 05:00:00,5.5,0.0,0.1,5.8,86,99,0.0,99
2014-06-01 06:00:00,5.4,0.0,0.0,6.1,93,99,0.0,99
2014-06-01 07:00:00,5.4,0.0,0.2,6.1,90,98,0.0,100
2014-06-01 08:00:00,5.5,0.0,0.5,6.1,93,98,12.0,100
2014-06-01 09:00:00,6.2,0.0,0.2,6.5,87,95,53.0,100
2014-06-01 10:00:00,7.0,0.0,0.5,6.8,87,94,96.0,100
2014-06-01 11:00:00,7.8,0.0,0.7,6.2,80,98,138.0,100
2014-06-01 12:00:00,8.1,0.0,1.2,4.3,85,98,100.0,100
2014-06-01 13:00:00,7.9,0.0,1.4,3.8,41,98,59.0,100
2014-06-01 14:00:00,7.8,0.0,2.1,5.1,356,99,58.0,100
2014-06-01 15:00:00,7.3,0.0,2.0,4.7,337,98,52.0,100
2014-06-01 16:00:00,7.0,0.0,1.3,2.1,329,99,24.0,100
2014-06-01 17:00:00,6.2,0.0,0.2,2.9,120,98,14.0,100
2014-06-01 18:00:00,5.7,0.0,0.0,4.3,95,99,0.0,100
2014-06-01 19:00:00,5.2,0.0,0.0,3.7,79,99,0.0,96
2014-06-01 20:00:00,4.5,0.0,0.0,1.8,11,100,0.0,84
2014-06-01 21:00:00,3.7,0.0,0.0,1.6,63,100,0.0,89
2014-06-01 22:00:00,2.8,0.0,0.0,2.5,82,100,0.0,100
2014-06-01 23:00:00,2.3,0.0,0.0,2.9,97,99,0.0,100
2014-06-02 00:00:00,1.7,0.0,0.0,2.6,106,99,0.0,100
2014-06-02 01:00:00,1.6,0.0,0.0,2.6,106,99,0.0,100
2014-06-02 02:00:00,1.6,0.0,0.0,2.6,106,100,0.0,100
2014-06-02 03:00:00,1.5,0.0,0.0,2.3,108,99,0.0,100
2014-06-02 04:00:00,1.2,0.0,0.0,2.3,108,99,0.0,100
2014-06-02 05:00:00,2.0,0.0,0.0,2.5,98,98,0.0,100
2014-06-02 06:00:00,2.2,0.0,0.0,2.3,108,98,0.0,99
2014-06-02 07:00:00,2.0,0.0,0.0,1.8,101,97,0.0,100
2014-06-02 08:00:00,2.5,0.0,0.2,2.6,106,97,18.0,100
2014-06-02 09:00:00,4.7,0.0,0.1,1.8,127,98,90.0,100
2014-06-02 10:00:00,6.0,0.0,0.3,1.5,166,94,181.0,100
2014-06-02 11:00:00,6.9,0.0,0.3,2.9,210,87,257.0,99
2014-06-02 12:00:00,7.5,0.0,0.4,4.3,222,85,305.0,100
2014-06-02 13:00:00,7.2,0.0,0.4,4.6,225,87,232.0,100
2014-06-02 14:00:00,6.8,0.0,0.5,4.1,225,91,174.0,99
2014-06-02 15:00:00,6.5,0.0,0.6,4.1,232,95,138.0,98
2014-06-02 16:00:00,6.0,0.0,1.2,4.0,265,99,71.0,99
2014-06-02 17:00:00,5.7,0.0,0.2,3.8,287,97,26.0,97
2014-06-02 18:00:00,5.3,0.0,0.4,4.3,294,97,0.0,99
2014-06-02 19:00:00,4.8,0.0,0.3,4.8,297,99,0.0,98
2014-06-02 20:00:00,4.2,0.0,0.2,6.5,304,100,0.0,98
2014-06-02 21:00:00,3.9,0.0,0.2,6.4,313,100,0.0,100
2014-06-02 22:00:00,3.9,0.0,0.2,6.4,317,100,0.0,100
2014-06-02 23:00:00,4.1,0.0,0.3,6.6,315,99,0.0,100
2014-06-03 00:00:00,4.0,0.0,0.2,7.1,315,100,0.0,100
2014-06-03 01:00:00,4.1,0.0,0.4,6.9,317,100,0.0,100
2014-06-03 02:00:00,4.2,0.0,0.7,7.4,317,100,0.0,100
2014-06-03 03:00:00,4.2,0.0,1.0,8.9,313,100,0.0,100
2014-06-03 04:00:00,4.4,0.0,0.9,9.4,317,100,0.0,100
2014-06-03 05:00:00,4.7,0.0,0.8,11.0,319,98,0.0,100
2014-06-03 06:00:00,4.6,0.0,1.0,10.2,315,100,0.0,100
2014-06-03 07:00:00,4.6,0.0,1.1,9.7,318,99,0.0,100
2014-06-03 08:00:00,4.7,0.0,1.2,9.9,316,99,3.0,100
2014-06-03 09:00:00,4.8,0.0,1.1,9.9,314,98,13.0,100
2014-06-03 10:00:00,4.8,0.0,0.9,11.0,311,99,20.0,100
2014-06-03 11:00:00,5.3,0.0,0.8,11.5,309,99,41.0,100
2014-06-03 12:00:00,5.3,0.0,0.7,11.6,306,99,52.0,100
2014-06-03 13:00:00,5.4,0.0,0.5,11.0,308,97,68.0,100
2014-06-03 14:00:00,5.6,0.0,0.3,10.5,308,96,86.0,100
2014-06-03 15:00:00,5.6,0.0,0.2,9.5,307,96,69.0,100
2014-06-03 16:00:00,5.3,0.0,0.1,8.5,306,98,37.0,100
2014-06-03 17:00:00,5.3,0.0,0.2,8.5,306,98,8.0,100
2014-06-03 18:00:00,5.1,0.0,0.1,8.0,306,99,0.0,100
2014-06-03 19:00:00,5.0,0.0,0.0,7.2,307,99,0.0,100
2014-06-03 20:00:00,4.9,0.0,0.0,6.9,309,99,0.0,100
2014-06-03 21:00:00,4.8,0.0,0.0,7.2,307,99,0.0,97
2014-06-03 22:00:00,4.8,0.0,0.0,6.7,306,100,0.0,100
2014-06-03 23:00:00,4.8,0.0,0.1,6.2,306,100,0.0,100
2014-06-04 00:00:00,4.9,0.0,0.1,6.0,303,99,0.0,100
2014-06-04 01:00:00,5.0,0.0,0.1,6.0,303,99,0.0,100
2014-06-04 02:00:00,4.9,0.0,0.0,5.7,305,99,0.0,100
2014-06-04 03:00:00,4.8,0.0,0.0,5.5,302,99,0.0,100
2014-06-04 04:00:00,4.7,0.0,0.0,5.2,304,99,0.0,100
2014-06-04 05:00:00,4.7,0.0,0.1,4.9,306,99,0.0,100
2014-06-04 06:00:00,4.7,0.0,0.0,4.8,312,99,0.0,100
2014-06-04 07:00:00,4.8,0.0,0.0,4.3,312,99,0.0,100
2014-06-04 08:00:00,4.7,0.0,0.0,4.3,318,99,12.0,100
2014-06-04 09:00:00,5.8,0.0,0.0,4.6,315,95,94.0,100
2014-06-04 10:00:00,6.7,0.0,0.0,5.2,304,90,158.0,97
2014-06-04 11:00:00,7.2,0.0,0.0,5.8,292,84,207.0,97
2014-06-04 12:00:00,8.2,0.0,0.0,6.5,289,75,314.0,91
2014-06-04 13:00:00,8.8,0.0,0.0,6.8,288,70,348.0,93
2014-06-04 14:00:00,9.3,0.0,0.0,7.2,288,66,365.0,92
2014-06-04 15:00:00,9.0,0.0,0.0,6.4,286,67,247.0,91
2014-06-04 16:00:00,8.3,0.0,0.0,4.2,290,72,138.0,78
2014-06-04 17:00:00,7.3,0.0,0.0,3.8,287,81,35.0,76
2014-06-04 18:00:00,6.3,0.0,0.0,4.1,285,88,0.0,58
2014-06-04 19:00:00,5.1,0.0,0.0,3.6,270,94,0.0,61
2014-06-04 20:00:00,4.6,0.0,0.0,3.1,291,97,0.0,76
2014-06-04 21:00:00,4.5,0.0,0.0,2.6,304,98,0.0,84
2014-06-04 22:00:00,4.3,0.0,0.0,1.5,315,98,0.0,90
2014-06-04 23:00:00,3.9,0.0,0.0,1.0,315,99,0.0,86
2014-06-05 00:00:00,3.7,0.0,0.0,0.7,360,99,0.0,81
2014-06-05 01:00:00,3.3,0.0,0.0,0.8,63,99,0.0,70
2014-06-05 02:00:00,3.4,0.0,0.0,1.1,90,98,0.0,70
2014-06-05 03:00:00,3.0,0.0,0.0,1.3,56,99,0.0,70
2014-06-05 04:00:00,2.6,0.0,0.0,0.8,27,99,0.0,49
2014-06-05 05:00:00,1.5,0.0,0.0,0.7,360,99,0.0,49
2014-06-05 06:00:00,1.3,0.0,0.0,0.8,27,99,0.0,48
2014-06-05 07:00:00,1.2,0.0,0.0,0.8,27,98,0.0,36
2014-06-05 08:00:00,1.6,0.0,0.0,1.8,79,95,26.0,20
2014-06-05 09:00:00,4.3,0.0,0.0,1.1,108,92,135.0,34
2014-06-05 10:00:00,7.3,0.0,0.0,1.6,153,72,268.0,52
2014-06-05 11:00:00,8.5,0.0,0.0,1.8,169,63,418.0,76
2014-06-05 12:00:00,9.4,0.0,0.0,1.4,180,57,489.0,97
2014-06-05 13:00:00,9.6,0.0,0.0,2.3,198,56,423.0,97
2014-06-05 14:00:00,9.2,0.0,0.0,3.4,198,56,266.0,99
2014-06-05 15:00:00,8.9,0.0,0.0,4.5,194,59,207.0,96
