time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-06-01 00:00:00,-0.4,0.0,0.0,3.1,216,95,0.0,77
2014-06-01 01:00:00,-0.7,0.0,0.0,3.1,225,96,0.0,78
2014-06-01 02:00:00,-0.8,0.0,0.0,2.9,240,96,0.0,74
2014-06-01 03:00:00,-1.1,0.0,0.0,2.7,247,97,0.0,74
2014-06-01 04:00:00,-1.1,0.0,0.0,2.7,247,97,0.0,70
2014-06-01 05:00:00,-1.1,0.0,0.0,2.6,254,96,0.0,69
2014-06-01 06:00:00,-1.2,0.0,0.0,2.6,254,95,0.0,71
2014-06-01 07:00:00,-0.8,0.0,0.0,2.7,247,87,0.0,72
2014-06-01 08:00:00,-0.5,0.0,0.0,2.4,243,84,0.0,73
2014-06-01 09:00:00,-0.3,0.0,0.0,2.4,243,82,27.0,77
2014-06-01 10:00:00,0.1,0.0,0.0,2.6,236,79,150.0,80
2014-06-01 11:00:00,0.6,0.0,0.0,2.6,254,77,275.0,77
2014-06-01 12:00:00,1.2,0.0,0.0,1.5,256,75,360.0,73
2014-06-01 13:00:00,2.0,0.0,0.0,2.2,261,74,395.0,71
2014-06-01 14:00:00,3.0,0.0,0.0,2.2,261,70,383.0,27
2014-06-01 15:00:00,4.0,0.0,0.0,2.2,261,62,309.0,35
2014-06-01 16:00:00,4.3,0.0,0.0,2.3,252,59,199.0,36
2014-06-01 17:00:00,4.1,0.0,0.0,1.8,259,58,68.0,39
2014-06-01 18:00:00,3.6,0.0,0.0,1.8,259,59,1.0,19
2014-06-01 19:00:00,3.2,0.0,0.0,2.2,261,59,0.0,68
2014-06-01 20:00:00,2.9,0.0,0.0,2.3,252,59,0.0,58
2014-06-01 21:00:00,2.6,0.0,0.0,2.3,252,59,0.0,70
2014-06-01 22:00:00,2.4,0.0,0.0,2.6,254,59,0.0,68
2014-06-01 23:00:00,2.1,0.0,0.0,2.9,240,60,0.0,67
2014-06-02 00:00:00,1.9,0.0,0.0,3.3,229,61,0.0,67
2014-06-02 01:00:00,1.7,0.0,0.0,2.8,230,62,0.0,67
2014-06-02 02:00:00,1.4,0.0,0.0,2.5,225,63,0.0,67
2014-06-02 03:00:00,1.2,0.0,0.0,3.1,216,65,0.0,67
2014-06-02 04:00:00,1.0,0.0,0.0,3.2,207,66,0.0,68
2014-06-02 05:00:00,0.8,0.0,0.0,3.4,212,67,0.0,69
2014-06-02 06:00:00,0.6,0.0,0.0,3.4,212,69,0.0,68
2014-06-02 07:00:00,0.9,0.0,0.0,3.4,212,70,0.0,70
2014-06-02 08:00:00,0.8,0.0,0.0,3.4,212,72,0.0,69
2014-06-02 09:00:00,0.7,0.0,0.0,3.1,216,75,26.0,68
2014-06-02 10:00:00,0.8,0.0,0.0,3.3,221,76,136.0,56
2014-06-02 11:00:00,1.1,0.0,0.0,3.1,216,77,269.0,54
